Valeur de m | Temps fcnt normal | Temps fcnt naive
0	 0.000183	  0.000425
100	 0.000261	  0.000196
200	 0.000001	  0.000006
300	 0.000003	  0.000010
400	 0.000003	  0.000009
500	 0.000002	  0.000010
600	 0.000001	  0.000011
700	 0.000002	  0.000012
800	 0.000002	  0.000013
900	 0.000002	  0.000015
1000	 0.000002	  0.000017
1100	 0.000002	  0.000018
1200	 0.000002	  0.000019
1300	 0.000002	  0.000020
1400	 0.000002	  0.000021
1500	 0.000002	  0.000023
1600	 0.000002	  0.000025
1700	 0.000002	  0.000027
1800	 0.000002	  0.000028
1900	 0.000002	  0.000029
2000	 0.000002	  0.000032
2100	 0.000002	  0.000031
2200	 0.000017	  0.000032
2300	 0.000002	  0.000035
2400	 0.000003	  0.000037
2500	 0.000002	  0.000037
2600	 0.000002	  0.000038
2700	 0.000002	  0.000054
2800	 0.000001	  0.000042
2900	 0.000001	  0.000043
3000	 0.000002	  0.000046
3100	 0.000002	  0.000046
3200	 0.000002	  0.000049
3300	 0.000002	  0.000067
3400	 0.000002	  0.000050
3500	 0.000002	  0.000052
3600	 0.000002	  0.000052
3700	 0.000002	  0.000068
3800	 0.000003	  0.000055
3900	 0.000002	  0.000057
4000	 0.000002	  0.000064
4100	 0.000002	  0.000059
4200	 0.000002	  0.000062
4300	 0.000002	  0.000063
4400	 0.000002	  0.000064
4500	 0.000002	  0.000065
4600	 0.000002	  0.000067
4700	 0.000002	  0.000069
4800	 0.000002	  0.000071
4900	 0.000002	  0.000072
5000	 0.000002	  0.000073
5100	 0.000003	  0.000075
5200	 0.000002	  0.000075
5300	 0.000002	  0.000079
5400	 0.000002	  0.000078
5500	 0.000002	  0.000079
5600	 0.000002	  0.000079
5700	 0.000002	  0.000094
5800	 0.000002	  0.000085
5900	 0.000002	  0.000086
6000	 0.000002	  0.000098
6100	 0.000002	  0.000086
6200	 0.000002	  0.000089
6300	 0.000002	  0.000092
6400	 0.000002	  0.000091
6500	 0.000002	  0.000094
6600	 0.000002	  0.000097
6700	 0.000002	  0.000098
6800	 0.000002	  0.000097
6900	 0.000002	  0.000101
7000	 0.000002	  0.000100
7100	 0.000002	  0.000105
7200	 0.000001	  0.000118
7300	 0.000002	  0.000105
7400	 0.000002	  0.000108
7500	 0.000001	  0.000108
7600	 0.000002	  0.000107
7700	 0.000001	  0.000137
7800	 0.000002	  0.000117
7900	 0.000002	  0.000113
8000	 0.000002	  0.000117
8100	 0.000002	  0.000118
8200	 0.000002	  0.000120
8300	 0.000002	  0.000123
8400	 0.000002	  0.000121
8500	 0.000001	  0.000123
8600	 0.000002	  0.000127
8700	 0.000002	  0.000135
8800	 0.000002	  0.000126
8900	 0.000002	  0.000130
